asofdate,heldforstatus,metrics,value
2025-07-31,RetainedHFI,loanamount,702675643.0
2025-07-31,RetainedHFS,loanamount,1730815297.0
2025-07-31,Total,loanamount,2433490940.0
2025-07-31,RetainedHFI,outstanding_balance,533576948.0
2025-07-31,RetainedHFS,outstanding_balance,1187624725.0
2025-07-31,Total,outstanding_balance,1721201673.0
2025-07-31,RetainedHFI,ftpamount,926081.128909762
2025-07-31,RetainedHFS,ftpamount,2524641.14801685
2025-07-31,Total,ftpamount,3450722.276926612
2025-07-31,RetainedHFI,C/O_last_month,0.005311726181050659
2025-07-31,RetainedHFS,C/O_last_month,0.007482817606495878
2025-07-31,Total,C/O_last_month,0.006811963700642729
2025-07-31,RetainedHFI,CPR_last_month,0.2201974814841693
2025-07-31,RetainedHFS,CPR_last_month,0.22735420913165005
2025-07-31,Total,CPR_last_month,0.2251433232362735
2025-07-31,RetainedHFI,DQ_last_month,0.05200358809771871
2025-07-31,RetainedHFS,DQ_last_month,0.08118739223946281
2025-07-31,Total,DQ_last_month,0.07216977613786196
